timestep,age,mean,std,mode,2.5%,25%,50%,75%,97.5%
42252,2112.655,2.991115119,1.02724123,2.581992349,1.404529869,2.273500768,2.840869797,3.526458051,5.446230642
42253,2112.705,2.992425086,1.027593643,2.582218582,1.403791019,2.275221547,2.84125076,3.528470446,5.448276177
42254,2112.755,2.993738632,1.027952148,2.582528233,1.405380169,2.276836798,2.842577679,3.531531781,5.452277239
42255,2112.805,2.995056832,1.028318294,2.582937286,1.405449199,2.277991662,2.844233484,3.531665375,5.455822781
42256,2112.855,2.996379185,1.028691232,2.58337851,1.404336146,2.279010517,2.846620216,3.532829785,5.460832296
42257,2112.905,2.997707426,1.029071716,2.583756434,1.403652185,2.280321954,2.848722877,3.534916133,5.463166287
42258,2112.955,2.999036085,1.029454774,2.584082318,1.405476528,2.281748631,2.850386652,3.538182253,5.469535657
42259,2113.005,3.000366063,1.029840992,2.584405569,1.406938366,2.282089956,2.85149779,3.541159102,5.471200837
42260,2113.055,3.001700913,1.030235716,2.584772829,1.406321283,2.283379677,2.853861483,3.541707346,5.475481465
42261,2113.105,3.003039965,1.030639507,2.585129847,1.408071337,2.285143682,2.855502739,3.542327316,5.477001784
42262,2113.155,3.004382983,1.031048651,2.585552936,1.407806965,2.286222862,2.856664337,3.541473258,5.477737515
42263,2113.205,3.005728915,1.031463065,2.585968226,1.409477219,2.287355259,2.858620382,3.542821111,5.479417577
42264,2113.255,3.007077787,1.031881979,2.586406341,1.411230912,2.28816156,2.860866006,3.544387688,5.477784795
42265,2113.305,3.00843213,1.032307581,2.586819758,1.409545019,2.28825764,2.861612145,3.545864258,5.476411659
42266,2113.355,3.009789108,1.032738027,2.587168957,1.408033788,2.28936502,2.863949336,3.548277917,5.477246966
42267,2113.405,3.011151247,1.033174706,2.587514924,1.408576994,2.290668311,2.865828738,3.552038701,5.478361626
42268,2113.455,3.012516019,1.033612818,2.587881284,1.409892535,2.292817856,2.866262332,3.554579828,5.484931037
42269,2113.505,3.013883623,1.034058849,2.588231315,1.409291428,2.294288529,2.867593161,3.555753815,5.491784831
42270,2113.555,3.015254529,1.034512403,2.588558293,1.41127806,2.297020076,2.869600332,3.557518558,5.502857648
42271,2113.605,3.01662768,1.03497387,2.588920026,1.412716538,2.298400628,2.872240748,3.560222363,5.504935824
42272,2113.655,3.018006115,1.035444652,2.589335521,1.415279918,2.299154214,2.872725892,3.562748697,5.500871898
42273,2113.705,3.019388013,1.035920866,2.589857547,1.411406695,2.300355091,2.875238703,3.56495167,5.504412518
42274,2113.755,3.0207738,1.036403136,2.590429693,1.412965796,2.301895372,2.87568183,3.565770472,5.506564745
42275,2113.805,3.022161842,1.036894292,2.591095688,1.414518617,2.304241969,2.877949634,3.567661848,5.500656965
42276,2113.855,3.023553215,1.037394554,2.591867206,1.410902289,2.305534852,2.879422562,3.570040453,5.500229649
42277,2113.905,3.024949681,1.037899312,2.592764095,1.412632998,2.306519096,2.881845564,3.571882626,5.505580694
42278,2113.955,3.026355029,1.038411314,2.593710276,1.412787065,2.307234624,2.882848589,3.573874976,5.511048249
42279,2114.005,3.027764664,1.038924344,2.5947138,1.413507344,2.308596622,2.885255038,3.576138799,5.514634767
42280,2114.055,3.02917959,1.039446573,2.595783113,1.41639452,2.309493018,2.887018214,3.57845752,5.520216755
42281,2114.105,3.030597556,1.03997247,2.596844983,1.416320534,2.309170425,2.888156242,3.580309192,5.516986599
42282,2114.155,3.032016939,1.040496175,2.597911702,1.416284623,2.309810264,2.888620047,3.58242769,5.520836478
42283,2114.205,3.033438319,1.041024033,2.599011025,1.418325441,2.310153624,2.88951086,3.584271974,5.524686357
42284,2114.255,3.034862758,1.041558883,2.60010423,1.41858506,2.310854838,2.891293361,3.587069994,5.528536236
42285,2114.305,3.036294991,1.042099272,2.601206698,1.418590611,2.312848553,2.892861194,3.587334587,5.532386116
42286,2114.355,3.037731658,1.04264292,2.602257084,1.41728298,2.313134942,2.894293403,3.589816288,5.536235995
42287,2114.405,3.03917089,1.043193391,2.603319433,1.416555522,2.313950498,2.895456415,3.591544079,5.539959118
42288,2114.455,3.040614264,1.043749624,2.604427336,1.418027246,2.313786528,2.896618987,3.592645777,5.545932851
42289,2114.505,3.042060789,1.044307564,2.605581974,1.41877764,2.314680761,2.897975154,3.595241266,5.550535157
